Date,Event
2019-01-01,"[""United States - New Year's Day""]"
2019-01-03,"['Continuing Jobless Claims', 'ISM Manufacturing PMI']"
2019-01-04,"['Nonfarm Payrolls', 'Crude Oil Inventories', 'U.S. Baker Hughes Oil Rig Count']"
2019-01-07,['ISM Non-Manufacturing PMI']
2019-01-08,['JOLTs Job Openings']
2019-01-09,"['Crude Oil Inventories', '10-Year Note Auction', 'FOMC Meeting Minutes']"
2019-01-10,"['Continuing Jobless Claims', '30-Year Bond Auction']"
2019-01-11,"['CPI', 'U.S. Baker Hughes Oil Rig Count']"
2019-01-15,['PPI']
2019-01-16,['Crude Oil Inventories']
2019-01-17,"['OPEC Monthly Report', 'Continuing Jobless Claims']"
2019-01-18,"['IEA Monthly Report', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2019-01-24,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2019-01-25,['U.S. Baker Hughes Oil Rig Count']
2019-01-30,"['Crude Oil Inventories', 'FOMC Statement']"
2019-01-31,"['Crude Oil Inventories', 'FOMC Statement']"
2019-02-01,"['Nonfarm Payrolls', 'ISM Manufacturing PMI', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2019-02-05,['ISM Non-Manufacturing PMI']
2019-02-06,"['Crude Oil Inventories', '10-Year Note Auction']"
2019-02-07,"['Continuing Jobless Claims', '30-Year Bond Auction']"
2019-02-08,"['WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2019-02-12,"['OPEC Monthly Report', 'JOLTs Job Openings']"
2019-02-13,"['IEA Monthly Report', 'CPI', 'Crude Oil Inventories']"
2019-02-14,"['Continuing Jobless Claims', 'PPI', 'Retail Sales']"
2019-02-15,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2019-02-20,['FOMC Meeting Minutes']
2019-02-21,"['Continuing Jobless Claims', 'Durable Goods Orders', 'Crude Oil Inventories']"
2019-02-22,['U.S. Baker Hughes Oil Rig Count']
